l_gp_a,g_gp_a,b_gp_a,l_wp_a,g_wp_a,b_wp_a,p,ll
1.2897791,1.0002229,1.7585704,1.1862589,1.0843143,13.523775,1,-541687.4753835332
2.1973932,1.0006868,5.1559606,1.923607,1.0232478,5.413057,1,-10293033.912667558
5.648341,1.0003382,4.233398,1.9743241,1.0431802,1.1997741,2,-2591945.2340869894
9.379101,1.0000327,1.8704844,19.545847,1.1039895,18.494617,1,-308088.4645973746
2.2728486,1.0002689,5.4060864,8.053312,1.0965487,3.3670878,0,-426674.9469188965
1.3961834,1.0008339,6.2598853,8.994192,1.0082538,13.165993,1,-207204.59836044535
13.597253,1.0001241,6.4545145,2.4838486,1.074914,84.45906,5,-1611641.4075937667
8.529169,1.0001473,5.090272,8.286405,1.0628557,7.1856594,2,-1081010.2309745331
8.376821,1.0000613,5.8849483,1.2248492,1.008519,1.9739168,0,-1063575.6543923877
2.5962262,1.0000404,2.5912828,1.0884455,1.0441287,2.8777328,2,-1467994.9529931326
8.845685,1.0008968,4.5564027,1.3514768,1.0314709,5.3643494,3,-318489.0391952351
1.6007595,1.0005801,2.0315883,2.9823549,1.0497384,110.70274,4,-359222.78209595906
4.52263,1.0003104,3.6366704,1.9447182,1.053416,1.3961452,5,-2402014.194201519
5.810343,1.0006675,1.1779298,10.523953,1.1011987,59.042835,0,-87928.92879409844
2.7279649,1.0004292,4.4754786,1.1870956,1.0336885,2.598858,2,-1163234.6284702688
2.8626606,1.000413,2.0656717,4.4136667,1.0981642,22.571796,3,-554173.0128604688
1.6339166,1.0002897,3.377053,7.0334883,1.1022761,5.647303,5,-1558844.2376971417
7.406477,1.0005524,3.5645227,4.483346,1.0835565,1.9688281,1,-212934.05992579358
10.303529,1.0006365,5.2915597,15.574695,1.0395519,10.922994,2,-1074046.2398338346
9.44554,1.0008284,2.96333,3.5353763,1.0043794,3.1511705,0,-757008.8338555733
