l_gp_a,g_gp_a,b_gp_a,l_wp_a,g_wp_a,b_wp_a,p,ll
1.2897791,1.0002229,1.7585704,1.1862589,1.0843143,13.523775,1,-541687.4753835332
2.1973932,1.0006868,5.1559606,1.923607,1.0232478,5.413057,1,-10293033.912667558
5.648341,1.0003382,4.233398,1.9743241,1.0431802,1.1997741,2,-2591945.2340869894
9.379101,1.0000327,1.8704844,19.545847,1.1039895,18.494617,1,-308088.4645973746
2.2728486,1.0002689,5.4060864,8.053312,1.0965487,3.3670878,0,-426674.9469188965
1.3961834,1.0008339,6.2598853,8.994192,1.0082538,13.165993,1,-207204.59836044535
13.597253,1.0001241,6.4545145,2.4838486,1.074914,84.45906,5,-1611641.4075937667
8.529169,1.0001473,5.090272,8.286405,1.0628557,7.1856594,2,-1081010.2309745331
8.376821,1.0000613,5.8849483,1.2248492,1.008519,1.9739168,0,-1063575.6543923877
2.5962262,1.0000404,2.5912828,1.0884455,1.0441287,2.8777328,2,-1467994.9529931326
8.845685,1.0008968,4.5564027,1.3514768,1.0314709,5.3643494,3,-318489.0391952351
1.6007595,1.0005801,2.0315883,2.9823549,1.0497384,110.70274,4,-359222.78209595906
4.52263,1.0003104,3.6366704,1.9447182,1.053416,1.3961452,5,-2402014.194201519
5.810343,1.0006675,1.1779298,10.523953,1.1011987,59.042835,0,-87928.92879409844
2.7279649,1.0004292,4.4754786,1.1870956,1.0336885,2.598858,2,-1163234.6284702688
2.8626606,1.000413,2.0656717,4.4136667,1.0981642,22.571796,3,-554173.0128604688
1.6339166,1.0002897,3.377053,7.0334883,1.1022761,5.647303,5,-1558844.2376971417
7.406477,1.0005524,3.5645227,4.483346,1.0835565,1.9688281,1,-212934.05992579358
10.303529,1.0006365,5.2915597,15.574695,1.0395519,10.922994,2,-1074046.2398338346
9.44554,1.0008284,2.96333,3.5353763,1.0043794,3.1511705,0,-757008.8338555733
7.8244233,1.000736,3.545313,6.879565,1.0216923,7.1812162,4,-297725.30392079003
1.905209,1.0004894,1.0903261,4.460954,1.0094974,22.85912,0,-1007193.0601886027
2.6793325,1.0003784,4.500702,17.297712,1.0966558,34.846115,2,-1476619.8568598742
7.20355,1.0000907,2.9812644,6.4419794,1.0760612,14.18321,0,-226063.63638232625
1.9156392,1.0006547,4.3831415,1.1213272,1.0138158,1.3398976,4,-3815175.454056535
1.409458,1.0007771,1.4783744,3.6278574,1.0393634,6.560678,4,-6294054.471156394
2.5645099,1.0002029,1.4298251,8.482568,1.0385255,57.164074,5,-1131376.7882038862
13.546855,1.0000947,1.1738678,15.603034,1.1013415,1.1367031,4,-477304.605462241
3.8826017,1.0007153,1.7098514,16.857365,1.0442947,46.364365,3,-1465410.7692284693
2.1055145,1.0007458,3.5291595,2.983108,1.0064433,3.4221058,3,-482917.01821812626
4.563933,1.0008786,1.0575407,9.158916,1.063966,7.0793138,4,-95544.40684762111
2.4071724,1.000164,4.538181,2.6709921,1.0957646,3.968856,2,-2096408.5135516995
7.924445,1.0007846,2.345799,14.0162,1.0854446,5.0056386,4,-361560.23327918723
1.4023252,1.000654,2.168333,7.76124,1.0026314,8.7729845,5,-173287.95726032858
2.4007092,1.0008857,1.159848,1.6523852,1.028364,11.394924,1,-138625.08817205462
11.807791,1.0000468,4.868322,2.1572313,1.0925065,2.746993,5,-168557.2148043344
13.46712,1.0007555,1.3552215,2.1509497,1.0874038,6.5305576,4,-1360019.9012227566
12.050026,1.0007336,1.9643753,19.990246,1.0798353,50.970352,0,-2783278.3856439907
12.416986,1.0006754,3.1897948,1.6822683,1.0701108,32.432777,3,-903092.927293753
4.12853,1.0005077,1.0862322,2.0611038,1.0308765,18.363415,3,-127564.748133547
18.071497,1.0008899,2.6911807,19.257122,1.0505594,1.7796087,0,-607294.9427621381
6.681824,1.0008113,2.211782,1.7247868,1.0141357,1.3289585,3,-585230.4920461567
3.7512414,1.000208,6.6919665,4.912812,1.055338,4.2273417,3,-3164044.34015436
1.4429536,1.0008305,2.2313845,6.548657,1.0015378,41.39168,2,-136521.2892301306
4.4512897,1.0002482,4.9545417,1.9232248,1.0395467,29.11318,4,-1826329.6156179255
4.96714,1.0005049,3.222354,3.8956246,1.1003991,81.85315,2,-248609.748808128
6.330029,1.0000913,2.932969,14.778958,1.0304914,4.256431,3,-620862.9608498483
6.8172693,1.0004476,2.3401096,4.876306,1.0169184,1.5313988,2,-321229.60077281616
3.8504007,1.0003393,1.2477406,15.4140415,1.0742337,4.163139,1,-663975.9647917501
1.6463041,1.0007077,4.833714,14.093192,1.0180677,4.849044,5,-700183.1608253976
